PLAYER	TEAM	YEAR	WAR	VALUE	SALARY	SURPLUS VALUE
Bryce Harper	Nationals	2015	9.7	$75.4m	$2.5m	$72.9m
Mike Trout	Angels	2013	9.9	71.0	0.5	70.5
Mike Trout	Angels	2012	10.5	66.1	0.5	65.6
Mike Trout	Angels	2015	9.2	71.4	6.1	65.3
Josh Donaldson	Blue Jays	2015	8.8	68.0	4.3	63.7
Jacoby Ellsbury	Red Sox	2011	8.8	64.9	2.4	62.5
Paul Goldschmidt	Diamondbacks	2015	8.1	62.9	3.1	59.8
Mike Trout	Angels	2014	7.9	58.5	1.0	57.5
Andrew McCutchen	Pirates	2013	8.3	59.4	4.5	54.9
Josh Donaldson	Athletics	2013	7.7	55.2	0.5	54.7
Matt Kemp	Dodgers	2011	8.3	61.3	7.1	54.2
A.J. Pollock	Diamondbacks	2015	7.0	54.6	0.5	54.0
Manny Machado	Orioles	2015	6.9	53.9	0.5	53.4
Ben Zobrist	Rays	2009	8.6	53.6	0.4	53.2
Carlos Gomez	Brewers	2013	7.9	57.2	4.3	52.9
Dustin Pedroia	Red Sox	2011	7.9	58.4	5.8	52.6
Jose Bautista	Blue Jays	2011	8.1	60.0	8.0	52.0
Ryan Braun	Brewers	2011	7.5	55.4	4.3	51.2
Lorenzo Cain	Royals	2015	6.9	53.7	2.7	51.0
Ben Zobrist	Rays	2011	7.5	55.6	4.7	50.9
Josh Donaldson	Athletics	2014	6.9	51.1	0.5	50.6
Alex Gordon	Royals	2011	6.9	51.4	1.4	50.0
Kevin Kiermaier	Rays	2015	6.4	49.9	0.5	49.4
Evan Longoria	Rays	2011	6.9	50.9	2.0	48.9
Kris Bryant	Cubs	2015	6.2	48.3	0.5	47.8
Matt Carpenter	Cardinals	2013	6.7	48.0	0.5	47.5
Paul Goldschmidt	Diamondbacks	2013	6.6	47.8	0.5	47.3
Ian Kinsler	Rangers	2011	7.1	53.1	6.2	46.9
Anthony Rendon	Nationals	2014	6.6	48.6	1.8	46.8
Josh Hamilton	Rangers	2010	8.6	49.9	3.3	46.7
